Time,Temperature,Frequency,Magnitude
0.0,8.89,0.0,1554.38
1.0,9.49,0.01,2.99
2.0,8.63,0.01,1.43
3.0,8.72,0.02,10.5
4.0,8.72,0.02,4.53
5.0,8.8,0.03,5.29
6.0,8.55,0.03,3.4
7.0,8.72,0.04,5.74
8.0,8.63,0.04,6.79
9.0,8.2,0.05,6.14
10.0,8.63,0.06,10.5
11.0,8.89,0.06,5.76
12.0,8.8,0.07,9.33
13.0,8.63,0.07,0.03
14.0,8.55,0.08,6.48
15.0,8.97,0.08,3.54
16.0,8.63,0.09,3.15
17.0,8.72,0.09,4.32
18.0,8.63,0.1,5.09
19.0,8.63,0.11,4.87
20.0,8.72,0.11,2.94
21.0,8.97,0.12,0.68
22.0,8.72,0.12,4.25
23.0,8.29,0.13,5.94
24.0,8.8,0.13,8.47
25.0,8.72,0.14,3.84
26.0,8.55,0.14,6.03
27.0,8.72,0.15,14.04
28.0,8.72,0.16,5.58
29.0,8.63,0.16,9.83
30.0,8.55,0.17,6.04
31.0,8.55,0.17,6.92
32.0,8.63,0.18,6.93
33.0,8.55,0.18,5.27
34.0,8.97,0.19,7.02
35.0,8.72,0.19,5.28
36.0,8.55,0.2,4.18
37.0,8.29,0.21,12.12
38.0,8.2,0.21,8.76
39.0,8.55,0.22,11.55
40.0,8.46,0.22,3.19
41.0,9.15,0.23,4.44
42.0,9.15,0.23,6.59
43.0,8.97,0.24,3.86
44.0,6.89,0.24,7.95
45.0,8.2,0.25,7.93
46.0,8.72,0.26,5.83
47.0,9.15,0.26,1.14
48.0,8.8,0.27,3.32
49.0,8.63,0.27,2.93
50.0,8.29,0.28,4.09
51.0,8.72,0.28,2.8
52.0,8.46,0.29,11.18
53.0,8.72,0.29,7.05
54.0,8.63,0.3,9.53
55.0,8.63,0.31,4.07
56.0,8.8,0.31,5.17
57.0,8.72,0.32,3.26
58.0,8.8,0.32,6.56
59.0,8.8,0.33,3.25
60.0,8.72,0.33,7.76
61.0,8.55,0.34,11.35
62.0,9.91,0.34,14.27
63.0,9.4,0.35,3.55
64.0,8.63,0.36,6.88
65.0,8.97,0.36,5.43
66.0,9.06,0.37,7.51
67.0,8.8,0.37,11.53
68.0,8.63,0.38,5.31
69.0,8.72,0.38,3.53
70.0,8.63,0.39,1.36
71.0,8.11,0.39,7.95
72.0,7.42,0.4,5.72
73.0,8.46,0.41,9.05
74.0,8.72,0.41,4.96
75.0,9.06,0.42,6.1
76.0,8.55,0.42,5.45
77.0,8.63,0.43,4.37
78.0,8.11,0.43,3.1
79.0,8.97,0.44,6.15
80.0,10.92,0.44,7.05
81.0,8.37,0.45,1.76
82.0,8.72,0.46,6.84
83.0,9.4,0.46,9.15
84.0,6.98,0.47,7.22
85.0,8.55,0.47,7.49
86.0,8.29,0.48,5.94
87.0,8.72,0.48,2.19
88.0,8.46,0.49,2.03
89.0,8.37,0.49,5.82
90.0,7.68,,
91.0,8.55,,
92.0,7.15,,
93.0,8.8,,
94.0,8.72,,
95.0,8.63,,
96.0,8.55,,
97.0,8.63,,
98.0,8.46,,
99.0,8.37,,
100.0,9.23,,
101.0,8.46,,
102.0,8.63,,
103.0,8.72,,
104.0,8.46,,
105.0,8.63,,
106.0,8.97,,
107.0,8.8,,
108.0,8.2,,
109.0,8.63,,
110.0,9.49,,
111.0,8.72,,
112.0,8.8,,
113.0,8.55,,
114.0,8.29,,
115.0,10.08,,
116.0,8.11,,
117.0,8.8,,
118.0,8.55,,
119.0,8.72,,
120.0,8.89,,
121.0,9.06,,
122.0,6.62,,
123.0,9.06,,
124.0,9.32,,
125.0,8.8,,
126.0,8.29,,
127.0,8.55,,
128.0,8.29,,
129.0,8.55,,
130.0,9.23,,
131.0,8.55,,
132.0,8.72,,
133.0,8.8,,
134.0,8.72,,
135.0,8.8,,
136.0,8.72,,
137.0,8.46,,
138.0,8.11,,
139.0,9.4,,
140.0,8.55,,
141.0,8.55,,
142.0,8.55,,
143.0,8.63,,
144.0,8.37,,
145.0,8.63,,
146.0,7.24,,
147.0,8.89,,
148.0,8.8,,
149.0,8.72,,
150.0,8.46,,
151.0,8.11,,
152.0,8.29,,
153.0,9.32,,
154.0,8.55,,
155.0,8.63,,
156.0,8.72,,
157.0,8.63,,
158.0,7.85,,
159.0,9.32,,
160.0,7.94,,
161.0,8.55,,
162.0,8.72,,
163.0,8.89,,
164.0,8.29,,
165.0,6.98,,
166.0,8.72,,
167.0,8.97,,
168.0,8.72,,
169.0,8.97,,
170.0,8.63,,
171.0,9.32,,
172.0,8.46,,
173.0,9.66,,
174.0,8.11,,
175.0,8.72,,
176.0,8.8,,
177.0,8.2,,
178.0,7.94,,
179.0,9.4,,
